Connector,Pin,FPGA Pin,Pin Attributes,Net Name,Length (mm),Power In,Power Out,I/O Power,Ground,FPGA I/O,I/O Bank,JTAG,FPGA Clock In,Differential (+),Differential (-),BRK7010,Design Net,XDC IOStandard,Comment
MC1,1,"","",+VDCIN,"",+VDCIN,"","","","","","","","","",J1-1,"","",""
MC1,2,"","",DGND,"","","","",true,"","","","","","",J1-2,"","",""
MC1,3,"","",+VDCIN,"",+VDCIN,"","","","","","","","","",J1-3,"","",""
MC1,4,"","VCCINT,VCCBRAM",+1.0VDD,"","",+1.0VDD,"","","","","","","","",J1-4,"","",""
MC1,5,"","",+VDCIN,"",+VDCIN,"","","","","","","","","",J1-5,"","",""
MC1,6,"","VCCINT,VCCBRAM",+1.0VDD,"","",+1.0VDD,"","","","","","","","",J1-6,"","",""
MC1,7,"","VCCO_0,VCCAUX,VCCO_14,M2_0,M1_0",+1.8VDD,"","",+1.8VDD,"","","","","","","","",J1-7,"","",""
MC1,8,AB11,IO_L7P_T1_13,SYS_CLK_MC1,21.574,"","","","",TRUE,13,"","","","",J1-8,"",LVCMOS33,""
MC1,9,"",VCCO_13,+3.3VDD,"","",+3.3VDD,"","","","","","","","",J1-9,"","",""
MC1,10,M9,VN_0,XADC_VN,"","","","","","","","","","","",J1-10,"","",""
MC1,11,"",VCCO_13,+3.3VDD,"","",+3.3VDD,"","","","","","","","",J1-11,"","",""
MC1,12,L10,VP_0,XADC_VP,"","","","","","","","","","","",J1-12,"","",""
MC1,13,"",VCCO_13,+3.3VDD,"","",+3.3VDD,"","","","","","","","",J1-13,"","",""
MC1,14,"","",DGND,"","","","",true,"","","","","","",J1-14,"","",""
MC1,15,W9,IO_L24P_T3_34,B34_L24P,27.853,"","","","",TRUE,34,"","",TRUE,"",J1-15,"",LVCMOS33,""
MC1,16,V9,IO_L21P_T3_DQS_34,B34_L21P,23.937,"","","","",TRUE,34,"","",TRUE,"",J1-16,"",LVCMOS33,""
MC1,17,Y9,IO_L24N_T3_34,B34_L24N,26.696,"","","","",TRUE,34,"","","",TRUE,J1-17,"",LVCMOS33,""
MC1,18,V8,IO_L21N_T3_DQS_34,B34_L21N,23.765,"","","","",TRUE,34,"","","",TRUE,J1-18,"",LVCMOS33,""
MC1,19,R6,IO_L17P_T2_34,B34_L17P,31.982,"","","","",TRUE,34,"","",TRUE,"",J1-19,"",LVCMOS33,""
MC1,20,V7,IO_L19P_T3_34,B34_L19P,22.076,"","","","",TRUE,34,"","",TRUE,"",J1-20,"",LVCMOS33,""
MC1,21,T6,IO_L17N_T2_34,B34_L17N,30.716,"","","","",TRUE,34,"","","",TRUE,J1-21,"",LVCMOS33,""
MC1,22,W7,IO_L19N_T3_VREF_34,B34_L19N,20.746,"","","","",TRUE,34,"","","",TRUE,J1-22,"",LVCMOS33,""
MC1,23,U6,IO_L16P_T2_34,B34_L16P,27.433,"","","","",TRUE,34,"","",TRUE,"",J1-23,"",LVCMOS33,""
MC1,24,Y8,IO_L23P_T3_34,B34_L23P,18.093,"","","","",TRUE,34,"","",TRUE,"",J1-24,"",LVCMOS33,""
MC1,25,V5,IO_L16N_T2_34,B34_L16N,26.926,"","","","",TRUE,34,"","","",TRUE,J1-25,"",LVCMOS33,""
MC1,26,Y7,IO_L23N_T3_34,B34_L23N,18.54,"","","","",TRUE,34,"","","",TRUE,J1-26,"",LVCMOS33,""
MC1,27,T5,IO_L14P_T2_SRCC_34,B34_L14P,26.503,"","","","",TRUE,34,"",true,TRUE,"",J1-27,"",LVCMOS33,""
MC1,28,W6,IO_L15P_T2_DQS_34,B34_L15P,19.138,"","","","",TRUE,34,"","",TRUE,"",J1-28,"",LVCMOS33,""
MC1,29,U5,IO_L14N_T2_SRCC_34,B34_L14N,25.608,"","","","",TRUE,34,"",true,"",TRUE,J1-29,"",LVCMOS33,""
MC1,30,W5,IO_L15N_T2_DQS_34,B34_L15N,19.577,"","","","",TRUE,34,"","","",TRUE,J1-30,"",LVCMOS33,""
MC1,31,AA5,IO_L10P_T1_34,B34_L10P,21.028,"","","","",TRUE,34,"","",TRUE,"",J1-31,"",LVCMOS33,""
MC1,32,R4,IO_L13P_T2_MRCC_34,B34_L13P,27.920,"","","","",TRUE,34,"",true,TRUE,"",J1-32,"",LVCMOS33,""
MC1,33,AB5,IO_L10N_T1_34,B34_L10N,20.134,"","","","",TRUE,34,"","","",TRUE,J1-33,"",LVCMOS33,""
MC1,34,T4,IO_L13N_T2_MRCC_34,B34_L13N,25.206,"","","","",TRUE,34,"",true,"",TRUE,J1-34,"",LVCMOS33,""
MC1,35,"","",DGND,"","","","",true,"","","","","","",J1-35,"","",""
MC1,36,"",VCCO_34,VCCO_MC1,"","","",VCCO_MC1,"","","","","","","",J1-36,"","",""
MC1,37,AB7,IO_L20P_T3_34,B34_L20P,16.234,"","","","",TRUE,34,"","",TRUE,"",J1-37,"",LVCMOS33,""
